"marriagedata.rownum","poll","poll.firm","poll.year","id","statenum","statename","region.cat","female","race.wbh","edu.cat","age.cat","age.cat6","age.edu.cat6","educ","age","democrat","republican","black","hispanic","weight","yes.of.opinion.holders","yes.of.all","state","state.initnum","region","no.of.all","no.of.opinion.holders"
"626","Gall2005Aug22","Gall",2005,80626,15,"kansas",2,1,1,4,3,4,22,3,47,0,1,0,0,NA,1,1,"KS",17,"midwest",0,0
"627","Gall2005Aug22","Gall",2005,80627,35,"oklahoma",3,1,1,3,NA,NA,NA,2,NA,0,1,0,0,NA,NA,0,"OK",37,"south",1,NA
"628","Gall2005Aug22","Gall",2005,80628,35,"oklahoma",3,1,2,2,2,2,8,1,30,1,0,1,0,NA,1,1,"OK",37,"south",0,0
"629","Gall2005Aug22","Gall",2005,80629,1,"alabama",3,1,2,4,4,6,34,3,81,1,0,1,0,NA,0,0,"AL",2,"south",1,1
"630","Gall2005Aug22","Gall",2005,80630,48,"wisconsin",2,1,1,2,2,3,14,1,44,1,0,0,0,NA,1,1,"WI",49,"midwest",0,0
"631","Gall2005Aug22","Gall",2005,80631,48,"wisconsin",2,0,1,2,2,2,8,1,34,0,0,0,0,NA,0,0,"WI",49,"midwest",1,1
"632","Gall2005Aug22","Gall",2005,80632,13,"indiana",2,1,1,4,3,4,22,4,52,0,1,0,0,NA,0,0,"IN",16,"midwest",1,1
"633","Gall2005Aug22","Gall",2005,80633,23,"mississippi",3,1,2,2,3,4,20,1,48,1,0,1,0,NA,0,0,"MS",26,"south",1,1
"634","Gall2005Aug22","Gall",2005,80634,1,"alabama",3,0,1,3,4,6,33,2,83,0,1,0,0,NA,0,0,"AL",2,"south",1,1
"635","Gall2005Aug22","Gall",2005,80635,42,"texas",3,0,1,2,2,3,14,1,40,0,0,0,0,NA,0,0,"TX",44,"south",1,1
"636","Gall2005Aug22","Gall",2005,80636,13,"indiana",2,1,1,3,1,1,3,2,24,0,0,0,0,NA,1,1,"IN",16,"midwest",0,0
"637","Gall2005Aug22","Gall",2005,80637,17,"louisiana",3,1,2,2,2,3,14,1,41,1,0,1,0,NA,NA,0,"LA",19,"south",1,NA
"638","Gall2005Aug22","Gall",2005,80638,26,"nebraska",2,0,1,4,2,3,16,3,44,0,1,0,0,NA,1,1,"NE",30,"midwest",0,0
"639","Gall2005Aug22","Gall",2005,80639,3,"arkansas",3,1,1,2,4,6,32,1,65,0,0,0,0,NA,0,0,"AR",3,"south",1,1
"640","Gall2005Aug22","Gall",2005,80640,41,"tennessee",3,1,1,4,3,4,22,4,53,0,0,0,0,NA,1,1,"TN",43,"south",0,0
"641","Gall2005Aug22","Gall",2005,80641,13,"indiana",2,1,1,3,2,3,15,2,42,0,0,0,0,NA,0,0,"IN",16,"midwest",1,1
"642","Gall2005Aug22","Gall",2005,80642,13,"indiana",2,1,1,4,3,4,22,4,47,1,0,0,0,NA,1,1,"IN",16,"midwest",0,0
"643","Gall2005Aug22","Gall",2005,80643,13,"indiana",2,1,1,2,1,1,2,1,22,0,1,0,0,NA,0,0,"IN",16,"midwest",1,1
"644","Gall2005Aug22","Gall",2005,80644,4,"california",4,0,1,4,2,3,16,4,38,1,0,0,0,NA,1,1,"CA",5,"west",0,0
"645","Gall2005Aug22","Gall",2005,80645,4,"california",4,0,1,4,1,2,10,3,27,0,1,0,0,NA,1,1,"CA",5,"west",0,0
"646","Gall2005Aug22","Gall",2005,80646,17,"louisiana",3,1,1,2,2,3,14,1,40,0,1,0,0,NA,0,0,"LA",19,"south",1,1
"647","Gall2005Aug22","Gall",2005,80647,1,"alabama",3,0,1,4,3,5,28,3,62,0,0,0,0,NA,1,1,"AL",2,"south",0,0
"648","Gall2005Aug22","Gall",2005,80648,48,"wisconsin",2,0,1,4,2,3,16,4,38,0,1,0,0,NA,0,0,"WI",49,"midwest",1,1
"649","Gall2005Aug22","Gall",2005,80649,41,"tennessee",3,1,2,2,4,6,32,1,70,1,0,1,0,NA,0,0,"TN",43,"south",1,1
"650","Gall2005Aug22","Gall",2005,80650,14,"iowa",2,0,1,2,3,4,20,1,48,1,0,0,0,NA,0,0,"IA",13,"midwest",1,1
"651","Gall2005Aug22","Gall",2005,80651,42,"texas",3,0,1,2,1,2,8,1,26,0,0,0,0,NA,0,0,"TX",44,"south",1,1
"652","Gall2005Aug22","Gall",2005,80652,13,"indiana",2,1,1,2,2,3,14,2,38,0,0,0,0,NA,0,0,"IN",16,"midwest",1,1
"653","Gall2005Aug22","Gall",2005,80653,36,"oregon",4,1,1,1,2,3,13,1,37,0,0,0,0,NA,0,0,"OR",38,"west",1,1
"654","Gall2005Aug22","Gall",2005,80654,5,"colorado",4,0,1,4,4,6,34,4,77,0,0,0,0,NA,0,0,"CO",6,"west",1,1
"655","Gall2005Aug22","Gall",2005,80655,27,"nevada",4,0,1,4,2,3,16,4,36,1,0,0,0,NA,0,0,"NV",34,"west",1,1
"656","Gall2005Aug22","Gall",2005,80656,46,"washington",4,0,1,3,3,4,21,2,53,1,0,0,0,NA,1,1,"WA",48,"west",0,0
"657","Gall2005Aug22","Gall",2005,80657,46,"washington",4,0,1,3,2,3,15,2,39,0,1,0,0,NA,0,0,"WA",48,"west",1,1
"658","Gall2005Aug22","Gall",2005,80658,46,"washington",4,0,1,4,3,4,22,3,46,0,1,0,0,NA,NA,0,"WA",48,"west",1,NA
"659","Gall2005Aug22","Gall",2005,80659,43,"utah",4,0,1,2,4,6,32,1,70,1,0,0,0,NA,0,0,"UT",45,"west",1,1
"660","Gall2005Aug22","Gall",2005,80660,5,"colorado",4,0,1,3,2,2,9,2,31,1,0,0,0,NA,0,0,"CO",6,"west",1,1
"661","Gall2005Aug22","Gall",2005,80661,2,"arizona",4,0,1,2,4,6,32,1,70,1,0,0,0,NA,NA,0,"AZ",4,"west",1,NA
"662","Gall2005Aug22","Gall",2005,80662,46,"washington",4,1,1,4,2,3,16,3,38,1,0,0,0,NA,1,1,"WA",48,"west",0,0
"663","Gall2005Aug22","Gall",2005,80663,4,"california",4,1,1,4,3,4,22,3,45,0,1,0,0,NA,0,0,"CA",5,"west",1,1
"664","Gall2005Aug22","Gall",2005,80664,4,"california",4,1,1,1,4,6,31,1,69,0,0,0,0,NA,0,0,"CA",5,"west",1,1
"665","Gall2005Aug22","Gall",2005,80665,NA,NA,NA,0,1,4,4,6,34,4,72,0,0,0,0,NA,1,1,"",NA,"",0,0
"666","Gall2005Aug22","Gall",2005,80666,4,"california",4,1,2,3,3,4,21,2,47,1,0,1,0,NA,0,0,"CA",5,"west",1,1
"667","Gall2005Aug22","Gall",2005,80667,46,"washington",4,0,1,3,1,2,9,2,28,0,1,0,0,NA,0,0,"WA",48,"west",1,1
"668","Gall2005Aug22","Gall",2005,80668,4,"california",4,1,2,3,3,4,21,2,54,1,0,1,0,NA,0,0,"CA",5,"west",1,1
"669","Gall2005Aug22","Gall",2005,80669,43,"utah",4,0,1,4,2,3,16,4,44,0,1,0,0,NA,1,1,"UT",45,"west",0,0
"670","Gall2005Aug22","Gall",2005,80670,46,"washington",4,0,1,4,3,4,22,4,52,0,1,0,0,NA,1,1,"WA",48,"west",0,0
"671","Gall2005Aug22","Gall",2005,80671,4,"california",4,1,1,3,4,6,33,2,68,0,0,0,0,NA,NA,0,"CA",5,"west",1,NA
"672","Gall2005Aug22","Gall",2005,80672,19,"maryland",3,0,1,4,2,2,10,4,31,0,1,0,0,NA,0,0,"MD",21,"south",1,1
"673","Gall2005Aug22","Gall",2005,80673,28,"new hampshire",1,0,1,2,3,5,26,2,60,0,1,0,0,NA,0,0,"NH",31,"northeast",1,1
"674","Gall2005Aug22","Gall",2005,80674,45,"virginia",3,0,1,1,4,6,31,1,79,0,0,0,0,NA,0,0,"VA",46,"south",1,1
"675","Gall2005Aug22","Gall",2005,80675,37,"pennsylvania",1,1,3,2,3,5,26,1,55,0,1,0,1,NA,1,1,"PA",39,"northeast",0,0
"676","Gall2005Aug22","Gall",2005,80676,10,"georgia",3,0,2,1,3,4,19,1,53,0,0,1,0,NA,1,1,"GA",11,"south",0,0
"677","Gall2005Aug22","Gall",2005,80677,16,"kentucky",3,0,1,4,3,4,22,4,53,1,0,0,0,NA,0,0,"KY",18,"south",1,1
"678","Gall2005Aug22","Gall",2005,80678,18,"maine",1,0,1,3,1,1,3,2,21,0,0,0,0,NA,1,1,"ME",22,"northeast",0,0
"679","Gall2005Aug22","Gall",2005,80679,39,"south carolina",3,0,1,1,2,2,7,1,30,0,0,0,0,NA,1,1,"SC",41,"south",0,0
"680","Gall2005Aug22","Gall",2005,80680,21,"michigan",2,1,1,4,2,3,16,4,44,0,1,0,0,NA,1,1,"MI",23,"midwest",0,0
"681","Gall2005Aug22","Gall",2005,80681,10,"georgia",3,0,1,3,2,3,15,2,40,0,0,0,0,NA,1,1,"GA",11,"south",0,0
"682","Gall2005Aug22","Gall",2005,80682,6,"connecticut",1,0,1,4,4,6,34,4,67,1,0,0,0,NA,1,1,"CT",7,"northeast",0,0
"683","Gall2005Aug22","Gall",2005,80683,9,"florida",3,1,1,4,2,2,10,3,34,0,0,0,0,NA,1,1,"FL",10,"south",0,0
"684","Gall2005Aug22","Gall",2005,80684,34,"ohio",2,1,1,3,3,4,21,2,50,0,0,0,0,NA,1,1,"OH",36,"midwest",0,0
"685","Gall2005Aug22","Gall",2005,80685,37,"pennsylvania",1,1,1,4,1,1,4,3,24,0,1,0,0,NA,0,0,"PA",39,"northeast",1,1
"686","Gall2005Aug22","Gall",2005,80686,37,"pennsylvania",1,1,2,2,2,3,14,1,35,1,0,1,0,NA,0,0,"PA",39,"northeast",1,1
"687","Gall2005Aug22","Gall",2005,80687,34,"ohio",2,1,1,3,4,6,33,2,72,0,0,0,0,NA,1,1,"OH",36,"midwest",0,0
"688","Gall2005Aug22","Gall",2005,80688,17,"louisiana",3,0,2,2,1,1,2,1,18,1,0,1,0,NA,0,0,"LA",19,"south",1,1
"689","Gall2005Aug22","Gall",2005,80689,31,"new york",1,0,1,4,3,5,28,4,59,0,0,0,0,NA,1,1,"NY",35,"northeast",0,0
"690","Gall2005Aug22","Gall",2005,80690,9,"florida",3,1,1,3,4,6,33,2,65,1,0,0,0,NA,1,1,"FL",10,"south",0,0
"691","Gall2005Aug22","Gall",2005,80691,37,"pennsylvania",1,1,1,2,4,6,32,1,69,1,0,0,0,NA,0,0,"PA",39,"northeast",1,1
"692","Gall2005Aug22","Gall",2005,80692,39,"south carolina",3,0,1,1,3,4,19,1,47,1,0,0,0,NA,0,0,"SC",41,"south",1,1
"693","Gall2005Aug22","Gall",2005,80693,31,"new york",1,1,1,2,4,6,32,1,77,1,0,0,0,NA,0,0,"NY",35,"northeast",1,1
"694","Gall2005Aug22","Gall",2005,80694,34,"ohio",2,1,1,4,3,4,22,4,49,1,0,0,0,NA,1,1,"OH",36,"midwest",0,0
"695","Gall2005Aug22","Gall",2005,80695,31,"new york",1,1,1,2,3,5,26,2,62,0,0,0,0,NA,0,0,"NY",35,"northeast",1,1
"696","Gall2005Aug22","Gall",2005,80696,45,"virginia",3,1,1,3,3,4,21,2,50,1,0,0,0,NA,0,0,"VA",46,"south",1,1
"697","Gall2005Aug22","Gall",2005,80697,21,"michigan",2,1,1,4,2,2,10,4,34,0,1,0,0,NA,0,0,"MI",23,"midwest",1,1
"698","Gall2005Aug22","Gall",2005,80698,39,"south carolina",3,0,1,4,3,5,28,4,58,0,1,0,0,NA,0,0,"SC",41,"south",1,1
"699","Gall2005Aug22","Gall",2005,80699,37,"pennsylvania",1,1,1,2,3,4,20,2,48,0,1,0,0,NA,0,0,"PA",39,"northeast",1,1
"700","Gall2005Aug22","Gall",2005,80700,19,"maryland",3,1,1,4,2,3,16,3,44,0,1,0,0,NA,0,0,"MD",21,"south",1,1
"701","Gall2005Aug22","Gall",2005,80701,10,"georgia",3,0,1,3,2,3,15,2,38,1,0,0,0,NA,1,1,"GA",11,"south",0,0
"702","Gall2005Aug22","Gall",2005,80702,39,"south carolina",3,0,1,3,4,6,33,2,79,0,0,0,0,NA,0,0,"SC",41,"south",1,1
"703","Gall2005Aug22","Gall",2005,80703,45,"virginia",3,1,1,2,3,4,20,2,45,0,1,0,0,NA,0,0,"VA",46,"south",1,1
"704","Gall2005Aug22","Gall",2005,80704,42,"texas",3,1,1,2,3,5,26,1,56,0,0,0,0,NA,0,0,"TX",44,"south",1,1
"705","Gall2005Aug22","Gall",2005,80705,31,"new york",1,0,1,3,2,2,9,2,30,0,1,0,0,NA,1,1,"NY",35,"northeast",0,0
"706","Gall2005Aug22","Gall",2005,80706,31,"new york",1,0,1,3,3,4,21,2,46,0,0,0,0,NA,0,0,"NY",35,"northeast",1,1
"707","Gall2005Aug22","Gall",2005,80707,34,"ohio",2,0,1,2,4,6,32,1,66,0,1,0,0,NA,0,0,"OH",36,"midwest",1,1
"708","Gall2005Aug22","Gall",2005,80708,20,"massachusetts",1,1,1,4,3,4,22,4,52,0,0,0,0,NA,1,1,"MA",20,"northeast",0,0
"709","Gall2005Aug22","Gall",2005,80709,37,"pennsylvania",1,0,1,2,3,5,26,1,59,0,1,0,0,NA,0,0,"PA",39,"northeast",1,1
"710","Gall2005Aug22","Gall",2005,80710,32,"north carolina",3,1,1,2,3,5,26,1,59,0,1,0,0,NA,0,0,"NC",28,"south",1,1
"711","Gall2005Aug22","Gall",2005,80711,13,"indiana",2,1,1,2,4,6,32,2,83,0,0,0,0,NA,0,0,"IN",16,"midwest",1,1
"712","Gall2005Aug22","Gall",2005,80712,37,"pennsylvania",1,0,1,2,3,5,26,1,55,1,0,0,0,NA,1,1,"PA",39,"northeast",0,0
"713","Gall2005Aug22","Gall",2005,80713,9,"florida",3,1,1,2,3,4,20,1,47,0,1,0,0,NA,0,0,"FL",10,"south",1,1
"714","Gall2005Aug22","Gall",2005,80714,21,"michigan",2,0,1,3,3,5,27,2,56,0,1,0,0,NA,0,0,"MI",23,"midwest",1,1
"715","Gall2005Aug22","Gall",2005,80715,9,"florida",3,1,1,1,4,6,31,1,76,0,1,0,0,NA,0,0,"FL",10,"south",1,1
"716","Gall2005Aug22","Gall",2005,80716,45,"virginia",3,1,1,2,2,3,14,1,42,0,0,0,0,NA,1,1,"VA",46,"south",0,0
"717","Gall2005Aug22","Gall",2005,80717,21,"michigan",2,1,1,4,2,3,16,3,37,0,0,0,0,NA,1,1,"MI",23,"midwest",0,0
"718","Gall2005Aug22","Gall",2005,80718,34,"ohio",2,1,2,3,3,4,21,2,52,0,1,1,0,NA,0,0,"OH",36,"midwest",1,1
"719","Gall2005Aug22","Gall",2005,80719,19,"maryland",3,1,1,4,3,4,22,4,46,1,0,0,0,NA,1,1,"MD",21,"south",0,0
"720","Gall2005Aug22","Gall",2005,80720,32,"north carolina",3,1,1,2,4,6,32,1,72,0,1,0,0,NA,0,0,"NC",28,"south",1,1
"721","Gall2005Aug22","Gall",2005,80721,31,"new york",1,0,1,4,3,4,22,4,51,1,0,0,0,NA,1,1,"NY",35,"northeast",0,0
"722","Gall2005Aug22","Gall",2005,80722,37,"pennsylvania",1,1,1,3,3,4,21,2,47,1,0,0,0,NA,1,1,"PA",39,"northeast",0,0
"723","Gall2005Aug22","Gall",2005,80723,9,"florida",3,1,3,4,4,6,34,3,86,0,1,0,1,NA,0,0,"FL",10,"south",1,1
"724","Gall2005Aug22","Gall",2005,80724,13,"indiana",2,1,1,2,2,3,14,1,40,0,0,0,0,NA,0,0,"IN",16,"midwest",1,1
"725","Gall2005Aug22","Gall",2005,80725,41,"tennessee",3,1,1,4,3,4,22,4,47,0,1,0,0,NA,1,1,"TN",43,"south",0,0
"726","Gall2005Aug22","Gall",2005,80726,34,"ohio",2,0,1,4,3,4,22,4,51,0,0,0,0,NA,1,1,"OH",36,"midwest",0,0
"727","Gall2005Aug22","Gall",2005,80727,19,"maryland",3,0,1,2,4,6,32,1,69,1,0,0,0,NA,0,0,"MD",21,"south",1,1
"728","Gall2005Aug22","Gall",2005,80728,20,"massachusetts",1,0,1,3,1,2,9,2,29,0,0,0,0,NA,0,0,"MA",20,"northeast",1,1
"729","Gall2005Aug22","Gall",2005,80729,20,"massachusetts",1,1,1,4,4,6,34,4,69,1,0,0,0,NA,0,0,"MA",20,"northeast",1,1
"730","Gall2005Aug22","Gall",2005,80730,32,"north carolina",3,0,2,4,3,4,22,4,48,0,0,1,0,NA,0,0,"NC",28,"south",1,1
"731","Gall2005Aug22","Gall",2005,80731,12,"illinois",2,0,1,1,1,1,1,1,23,0,0,0,0,NA,0,0,"IL",15,"midwest",1,1
"732","Gall2005Aug22","Gall",2005,80732,34,"ohio",2,0,1,1,2,3,13,1,40,1,0,0,0,NA,0,0,"OH",36,"midwest",1,1
"733","Gall2005Aug22","Gall",2005,80733,35,"oklahoma",3,0,1,4,2,3,16,4,38,1,0,0,0,NA,1,1,"OK",37,"south",0,0
"734","Gall2005Aug22","Gall",2005,80734,34,"ohio",2,0,1,4,4,6,34,4,69,0,1,0,0,NA,0,0,"OH",36,"midwest",1,1
"735","Gall2005Aug22","Gall",2005,80735,31,"new york",1,1,1,4,2,2,10,3,32,1,0,0,0,NA,0,0,"NY",35,"northeast",1,1
"736","Gall2005Aug22","Gall",2005,80736,13,"indiana",2,1,1,3,4,6,33,2,81,0,1,0,0,NA,1,1,"IN",16,"midwest",0,0
"737","Gall2005Aug22","Gall",2005,80737,23,"mississippi",3,1,1,4,4,6,34,4,81,0,0,0,0,NA,1,1,"MS",26,"south",0,0
"738","Gall2005Aug22","Gall",2005,80738,34,"ohio",2,0,1,4,3,4,22,3,47,0,1,0,0,NA,NA,0,"OH",36,"midwest",1,NA
"739","Gall2005Aug22","Gall",2005,80739,44,"vermont",1,0,1,4,2,3,16,4,41,0,0,0,0,NA,1,1,"VT",47,"northeast",0,0
"740","Gall2005Aug22","Gall",2005,80740,48,"wisconsin",2,1,1,3,4,6,33,2,65,0,0,0,0,NA,0,0,"WI",49,"midwest",1,1
"741","Gall2005Aug22","Gall",2005,80741,13,"indiana",2,0,2,3,2,2,9,2,33,0,0,1,0,NA,1,1,"IN",16,"midwest",0,0
"742","Gall2005Aug22","Gall",2005,80742,41,"tennessee",3,0,1,1,2,3,13,1,37,0,0,0,0,NA,0,0,"TN",43,"south",1,1
"743","Gall2005Aug22","Gall",2005,80743,35,"oklahoma",3,0,1,3,1,2,9,2,25,0,1,0,0,NA,0,0,"OK",37,"south",1,1
"744","Gall2005Aug22","Gall",2005,80744,15,"kansas",2,0,3,4,2,2,10,3,34,0,0,0,1,NA,1,1,"KS",17,"midwest",0,0
"745","Gall2005Aug22","Gall",2005,80745,17,"louisiana",3,0,1,4,2,3,16,3,36,0,0,0,0,NA,0,0,"LA",19,"south",1,1
"746","Gall2005Aug22","Gall",2005,80746,17,"louisiana",3,1,1,3,1,1,3,2,19,1,0,0,0,NA,1,1,"LA",19,"south",0,0
"747","Gall2005Aug22","Gall",2005,80747,22,"minnesota",2,0,1,2,1,2,8,1,26,0,1,0,0,NA,0,0,"MN",24,"midwest",1,1
"748","Gall2005Aug22","Gall",2005,80748,14,"iowa",2,1,1,4,2,3,16,3,36,0,1,0,0,NA,0,0,"IA",13,"midwest",1,1
"749","Gall2005Aug22","Gall",2005,80749,37,"pennsylvania",1,1,1,2,4,6,32,2,74,1,0,0,0,NA,0,0,"PA",39,"northeast",1,1
"750","Gall2005Aug22","Gall",2005,80750,42,"texas",3,0,1,2,1,1,2,1,18,0,0,0,0,NA,1,1,"TX",44,"south",0,0
"751","Gall2005Aug22","Gall",2005,80751,42,"texas",3,0,1,4,3,4,22,3,52,0,1,0,0,NA,0,0,"TX",44,"south",1,1
"752","Gall2005Aug22","Gall",2005,80752,14,"iowa",2,1,1,2,4,6,32,1,75,1,0,0,0,NA,1,1,"IA",13,"midwest",0,0
"753","Gall2005Aug22","Gall",2005,80753,42,"texas",3,0,3,2,2,3,14,1,39,1,0,0,1,NA,0,0,"TX",44,"south",1,1
"754","Gall2005Aug22","Gall",2005,80754,42,"texas",3,0,3,1,3,5,25,1,57,0,0,0,1,NA,0,0,"TX",44,"south",1,1
"755","Gall2005Aug22","Gall",2005,80755,37,"pennsylvania",1,1,1,4,1,2,10,3,27,1,0,0,0,NA,1,1,"PA",39,"northeast",0,0
"756","Gall2005Aug22","Gall",2005,80756,12,"illinois",2,0,1,3,2,3,15,2,39,0,1,0,0,NA,0,0,"IL",15,"midwest",1,1
"757","Gall2005Aug22","Gall",2005,80757,31,"new york",1,0,1,4,2,3,16,4,35,0,0,0,0,NA,1,1,"NY",35,"northeast",0,0
"758","Gall2005Aug22","Gall",2005,80758,44,"vermont",1,0,1,2,2,3,14,1,43,0,1,0,0,NA,0,0,"VT",47,"northeast",1,1
"759","Gall2005Aug22","Gall",2005,80759,10,"georgia",3,1,2,3,1,2,9,2,27,1,0,1,0,NA,1,1,"GA",11,"south",0,0
"760","Gall2005Aug22","Gall",2005,80760,35,"oklahoma",3,1,2,2,2,2,8,1,31,0,0,1,0,NA,0,0,"OK",37,"south",1,1
"761","Gall2005Aug22","Gall",2005,80761,36,"oregon",4,1,1,3,2,2,9,2,33,0,1,0,0,NA,0,0,"OR",38,"west",1,1
"762","Gall2005Aug22","Gall",2005,80762,19,"maryland",3,0,1,4,NA,NA,NA,4,NA,0,1,0,0,NA,0,0,"MD",21,"south",1,1
"763","Gall2005Aug22","Gall",2005,80763,21,"michigan",2,0,1,4,4,6,34,3,78,0,0,0,0,NA,0,0,"MI",23,"midwest",1,1
"764","Gall2005Aug22","Gall",2005,80764,1,"alabama",3,0,1,1,1,2,7,1,27,0,1,0,0,NA,0,0,"AL",2,"south",1,1
"765","Gall2005Aug22","Gall",2005,80765,11,"idaho",4,1,1,1,3,4,19,1,53,0,1,0,0,NA,0,0,"ID",14,"west",1,1
"766","Gall2005Aug22","Gall",2005,80766,42,"texas",3,1,1,1,3,5,25,1,57,0,1,0,0,NA,0,0,"TX",44,"south",1,1
"767","Gall2005Aug22","Gall",2005,80767,32,"north carolina",3,0,1,4,3,4,22,3,50,0,1,0,0,NA,0,0,"NC",28,"south",1,1
"768","Gall2005Aug22","Gall",2005,80768,43,"utah",4,0,1,4,4,6,34,4,74,0,1,0,0,NA,0,0,"UT",45,"west",1,1
"769","Gall2005Aug22","Gall",2005,80769,4,"california",4,1,1,3,2,2,9,2,31,1,0,0,0,NA,1,1,"CA",5,"west",0,0
"770","Gall2005Aug22","Gall",2005,80770,7,"delaware",3,1,1,2,2,3,14,1,37,0,0,0,0,NA,1,1,"DE",9,"south",0,0
"771","Gall2005Aug22","Gall",2005,80771,29,"new jersey",1,1,1,3,3,4,21,2,53,0,1,0,0,NA,0,0,"NJ",32,"northeast",1,1
"772","Gall2005Aug22","Gall",2005,80772,20,"massachusetts",1,1,1,1,1,2,7,1,27,0,0,0,0,NA,1,1,"MA",20,"northeast",0,0
"773","Gall2005Aug22","Gall",2005,80773,31,"new york",1,0,1,4,3,4,22,4,49,1,0,0,0,NA,1,1,"NY",35,"northeast",0,0
"774","Gall2005Aug22","Gall",2005,80774,31,"new york",1,1,1,4,3,5,28,3,59,0,1,0,0,NA,0,0,"NY",35,"northeast",1,1
"775","Gall2005Aug22","Gall",2005,80775,34,"ohio",2,0,3,3,3,4,21,2,49,0,0,0,1,NA,0,0,"OH",36,"midwest",1,1
"776","Gall2005Aug22","Gall",2005,80776,36,"oregon",4,0,1,4,3,4,22,4,45,1,0,0,0,NA,1,1,"OR",38,"west",0,0
"777","Gall2005Aug22","Gall",2005,80777,3,"arkansas",3,1,1,2,3,5,26,1,58,1,0,0,0,NA,0,0,"AR",3,"south",1,1
"778","Gall2005Aug22","Gall",2005,80778,4,"california",4,1,2,4,2,3,16,3,35,1,0,1,0,NA,NA,0,"CA",5,"west",1,NA
"779","Gall2005Aug22","Gall",2005,80779,19,"maryland",3,1,1,4,3,4,22,4,46,1,0,0,0,NA,NA,0,"MD",21,"south",1,NA
"780","Gall2005Aug22","Gall",2005,80780,1,"alabama",3,0,1,2,3,4,20,1,52,0,0,0,0,NA,0,0,"AL",2,"south",1,1
"781","Gall2005Aug22","Gall",2005,80781,42,"texas",3,1,2,3,3,5,27,2,59,0,0,1,0,NA,0,0,"TX",44,"south",1,1
"782","Gall2005Aug22","Gall",2005,80782,4,"california",4,0,1,4,1,2,10,3,29,1,0,0,0,NA,1,1,"CA",5,"west",0,0
"783","Gall2005Aug22","Gall",2005,80783,3,"arkansas",3,1,1,3,3,4,21,2,53,0,1,0,0,NA,0,0,"AR",3,"south",1,1
"784","Gall2005Aug22","Gall",2005,80784,41,"tennessee",3,0,2,2,4,6,32,1,75,1,0,1,0,NA,0,0,"TN",43,"south",1,1
"785","Gall2005Aug22","Gall",2005,80785,22,"minnesota",2,1,1,4,2,3,16,4,42,0,0,0,0,NA,1,1,"MN",24,"midwest",0,0
"786","Gall2005Aug22","Gall",2005,80786,4,"california",4,0,1,4,3,5,28,3,60,0,0,0,0,NA,0,0,"CA",5,"west",1,1
"787","Gall2005Aug22","Gall",2005,80787,42,"texas",3,0,1,1,4,6,31,1,79,0,1,0,0,NA,0,0,"TX",44,"south",1,1
"788","Gall2005Aug22","Gall",2005,80788,33,"north dakota",2,0,1,4,2,3,16,3,40,0,1,0,0,NA,0,0,"ND",29,"midwest",1,1
"789","Gall2005Aug22","Gall",2005,80789,2,"arizona",4,1,1,1,1,1,1,1,18,0,0,0,0,NA,1,1,"AZ",4,"west",0,0
"790","Gall2005Aug22","Gall",2005,80790,2,"arizona",4,1,3,1,1,1,1,1,18,0,0,0,1,NA,1,1,"AZ",4,"west",0,0
"791","Gall2005Aug22","Gall",2005,80791,2,"arizona",4,0,1,2,4,6,32,1,65,0,0,0,0,NA,0,0,"AZ",4,"west",1,1
"792","Gall2005Aug22","Gall",2005,80792,4,"california",4,1,1,4,3,5,28,3,59,1,0,0,0,NA,0,0,"CA",5,"west",1,1
"793","Gall2005Aug22","Gall",2005,80793,2,"arizona",4,0,1,4,2,2,10,3,33,0,0,0,0,NA,1,1,"AZ",4,"west",0,0
"794","Gall2005Aug22","Gall",2005,80794,46,"washington",4,1,1,4,4,6,34,4,67,1,0,0,0,NA,1,1,"WA",48,"west",0,0
"795","Gall2005Aug22","Gall",2005,80795,4,"california",4,0,1,4,3,4,22,4,48,0,0,0,0,NA,1,1,"CA",5,"west",0,0
"796","Gall2005Aug22","Gall",2005,80796,2,"arizona",4,0,3,4,1,1,4,3,22,1,0,0,1,NA,1,1,"AZ",4,"west",0,0
"797","Gall2005Aug22","Gall",2005,80797,4,"california",4,0,1,4,3,4,22,4,50,0,0,0,0,NA,1,1,"CA",5,"west",0,0
"798","Gall2005Aug22","Gall",2005,80798,4,"california",4,1,3,3,2,3,15,2,43,0,1,0,1,NA,0,0,"CA",5,"west",1,1
"799","Gall2005Aug22","Gall",2005,80799,5,"colorado",4,1,1,3,3,4,21,2,53,0,0,0,0,NA,1,1,"CO",6,"west",0,0
"800","Gall2005Aug22","Gall",2005,80800,36,"oregon",4,0,1,3,2,3,15,2,35,0,0,0,0,NA,0,0,"OR",38,"west",1,1
"801","Gall2005Aug22","Gall",2005,80801,2,"arizona",4,1,3,2,3,4,20,2,54,0,0,0,1,NA,0,0,"AZ",4,"west",1,1
"802","Gall2005Aug22","Gall",2005,80802,4,"california",4,0,1,4,2,3,16,3,42,0,0,0,0,NA,1,1,"CA",5,"west",0,0
"803","Gall2005Aug22","Gall",2005,80803,4,"california",4,1,1,4,3,4,22,4,46,0,1,0,0,NA,0,0,"CA",5,"west",1,1
"804","Gall2005Aug22","Gall",2005,80804,4,"california",4,0,1,4,3,4,22,4,45,0,0,0,0,NA,0,0,"CA",5,"west",1,1
